"193",2013-03-09,68447,163443,245266,379357,613245,230000,245638
"194",2013-03-16,75941,162302,222884,371594,689840,550560,244266
"195",2013-03-23,72318,176634,239189,373156,645300,250000,270767
"196",2013-03-30,76291,190876,250525,396553,708929,250000,279177
"197",2013-04-06,83578,177885,179351,236782,405775,734380,265127
"198",2013-04-13,83328,169351,182328,221860,378413,396073,256577
"199",2013-04-20,78158,178787,196686,222135,368827,606504,255611
"200",2013-04-27,85156,172428,223608,338984,608975,209950,246998
"201",2013-05-04,106933,150561,231751,332870,608975,230000,243290
"202",2013-05-11,106933,145695,246019,353576,608975,608975,247802
"203",2013-05-18,123764,159937,236790,352499,606892,608975,251825
"204",2013-05-25,122652,170096,175772,241476,338633,326353,250835
"205",2013-06-01,127222,176853,236431,349619,624724,359000,259275
"206",2013-06-08,134160,181632,226828,222902,336686,742467,253311
"207",2013-06-15,123761,185188,182667,229453,316245,742467,250575
"208",2013-06-22,104954,177682,178583,240830,314802,742467,251262
"209",2013-06-29,99474,160054,231032,327392,742467,317521,241434
"210",2013-07-06,98960,161837,159686,218905,215070,322224,240976
"211",2013-07-13,103431,164513,164508,226545,232988,313834,244829.333333333
"212",2013-07-20,104811,161828,230592,227118,325391,317232,244630
"213",2013-07-27,108450,157432,223754,325427,904195,361750,240293
"214",2013-08-03,111583,160064,222044,304593,873786,361750,228340
"215",2013-08-10,111814,161268,224925,310891,667739,614992,233180
"216",2013-08-17,111760,111760,155500,157847,249367,323860,241809
"217",2013-08-24,107608,161037,241918,256124,318623,516200,249892.5
"218",2013-08-31,110878,105160,154620,245850,236345,240768,240534.5
"219",2013-09-07,107167,106180,151535,144629,224758,239101,239450
"220",2013-09-14,106180,95967,162737,160714,247629,242266,245164
"221",2013-09-21,99564,81183,162798,162937,251191,241711,251070
"222",2013-09-28,80764,161563,160000,249260,249024,321760,238525.5
"223",2013-10-05,76731,75267,151765,147970,250022,246623,230447
"224",2013-10-12,81873,82900,148759,252784,247956,324750,233636
"225",2013-10-19,78393,143146,143498,242438,242805,330579,221291
"226",2013-10-26,87704,88915,128995,237911,246590,340320,216889.5
"227",2013-11-02,89278,88915,125706,125564,250474,249496,214425
